[2025-11-06T00:00:43.570Z] [ERROR] Failed to clean old archives | {"error":{"message":"Maximum call stack size exceeded","stack":"RangeError: Maximum call stack size exceeded\n    at Array.forEach (<anonymous>)\n    at LogFileManager.cleanOldArchives (/app/dist/utils/logFileManager.js:152:19)\n    at LogFileManager.rotateIfNeeded (/app/dist/utils/logFileManager.js:111:18)\n    at LogFileManager.writeLog (/app/dist/utils/logFileManager.js:118:14)\n    at Logger.writeToLogFile (/app/dist/utils/logger.js:54:34)\n    at Logger.info (/app/dist/utils/logger.js:93:18)\n    at LogFileManager.rotateIfNeeded (/app/dist/utils/logFileManager.js:100:29)\n    at LogFileManager.writeLog (/app/dist/utils/logFileManager.js:118:14)\n    at Logger.writeToLogFile (/app/dist/utils/logger.js:54:34)\n    at Logger.info (/app/dist/utils/logger.js:93:18)"}}
[2025-11-06T00:00:57.342Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:00:58.164Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:00:57.424Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:00:58.903Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:00:59.471Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:00:59.828Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:00.420Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:01.704Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:01.032Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:02.184Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:02.726Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:03.251Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:03.886Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:04.830Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:04.235Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:05.501Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:05.973Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:06.517Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:06.868Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.325Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:06.928Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.335Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.349Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.397Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.379Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.514Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.417Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.532Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.524Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.544Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:07.693Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:08.749Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:08.366Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:09.453Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:10.001Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:10.325Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:10.737Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:10.744Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:10.751Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:10.775Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:10.760Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:10.999Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:11.112Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:12.132Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:12.982Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
